Restaurant ID,Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,HasOnlinedelivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
35217,Joey's Pizza,1,Mumbai,"6 & 7, Upvan Building, Near Indian Oil Colony, DN Nagar, Azad Nagar, Mumbai",Azad Nagar,"Azad Nagar, Mumbai",72.829976,19.12663,Pizza,800,Indian Rupees(Rs.),No,No,No,No,2,4,Green,Very Good,5145
18447068,Cafe Hydro,1,Mumbai,"Esspee Tower, Rajendra Nagar, Dattapada Road, Borivali East, Mumbai",Borivali East,"Borivali East, Mumbai",72.86238123,19.22131488,Asian,1000,Indian Rupees(Rs.),No,No,No,No,3,4,Green,Very Good,156
18458563,The American Joint,1,Mumbai,"The Ahcl Homes Tower, Chikuwadi New Link Road, Borivali West, Mumbai",Borivali West,"Borivali West, Mumbai",72.8413473,19.2238399,"Healthy Food, American, Burger, Salad",850,Indian Rupees(Rs.),Yes,No,No,No,2,3.4,Orange,Average,170
18075122,The Fusion Kitchen,1,Mumbai,"Shop 1, Opposite Veda Building, Near Bhavdevi Garage, Holy Cross Road, IC colony, Borivali West, Mumbai",Borivali West,"Borivali West, Mumbai",72.848923,19.254567,"North Indian, Italian, Chinese, Mexican",1000,Indian Rupees(Rs.),Yes,Yes,No,No,3,4.7,Dark Green,Excellent,2083
18233317,145 Kala Ghoda,1,Mumbai,"145, Kala Ghoda, Fort, Mumbai",Fort,"Fort, Mumbai",72.83258457,18.92758399,"Fast Food, Beverages, Desserts",1500,Indian Rupees(Rs.),No,No,No,No,3,4.2,Green,Very Good,1606
18237753,Tea Villa Cafe,1,Mumbai,"31, Opposite Globus, Hill Road, Bandra West","Hill Road, Bandra West","Hill Road, Bandra West, Mumbai",72.83398401,19.05583064,"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",1000,Indian Rupees(Rs.),Yes,Yes,No,No,3,4.1,Green,Very Good,2040
18388642,Grandmama's Cafe,1,Mumbai,"Hotel Royal Garden, Ground Floor, Juhu Tara Road, Juhu, Mumbai",Juhu,"Juhu, Mumbai",72.82780755,19.09145752,"Continental, Italian",1100,Indian Rupees(Rs.),No,No,No,No,3,3.8,Yellow,Good,617
18463285,Mumbai Vibe,1,Mumbai,"Ganga Jamuna Block, 14th Road, Linking Road, Bandra West","Linking Road, Bandra West","Linking Road, Bandra West, Mumbai",72.83265799,19.06583751,"Cafe, Continental, North Indian, Italian, Chinese, Bakery, Desserts, Finger Food",1000,Indian Rupees(Rs.),Yes,No,No,No,3,3.8,Yellow,Good,146
16527711,The Rolling Pin,1,Mumbai,"12, Janta Industrial Estate, Senapat Bapat Road, Lower Parel, Mumbai",Lower Parel,"Lower Parel, Mumbai",72.82520279,18.99404899,"Bakery, Desserts, Cafe",700,Indian Rupees(Rs.),No,Yes,No,No,2,3.9,Yellow,Good,2076
18313566,Farzi Cafe,1,Mumbai,"Kamala Mills, Near Radio Mirchi Office, Lower Parel, Mumbai",Lower Parel,"Lower Parel, Mumbai",72.82764997,19.0035172,Modern Indian,1500,Indian Rupees(Rs.),No,No,No,No,3,4.3,Green,Very Good,1240
49003,SpiceKlub,1,Mumbai,"8A, Janta Industrial Estate, Opposite Phoenix Mills, Senapati Bapat Road, Lower Parel, Mumbai",Lower Parel,"Lower Parel, Mumbai",72.82555282,18.99423667,North Indian,1500,Indian Rupees(Rs.),No,Yes,No,No,3,4.2,Green,Very Good,3370
18441580,Tea Villa Cafe,1,Mumbai,"Shop 1& 2, Y-Building, Flower Valley, Opposite Viviana Mall,Eastern Express Highway, Majiwada, Thane West","Majiwada, Thane West","Majiwada, Thane West, Mumbai",72.97228105,19.20722241,"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",1000,Indian Rupees(Rs.),Yes,No,No,No,3,3.9,Yellow,Good,317
